student_id,exam_type,exam_date,Diagnosis: Cardiovascular,Diagnosis: Endocrine,Diagnosis: GI,Diagnosis: Neuro,Diagnosis: Renal,Foundation: Cardiovascular,Foundation: Endocrine,Foundation: GI,Foundation: Neuro,Foundation: Renal,Management: Endocrine,Management: GI,Management: Neuro,Management: Renal,Prevention: Cardiovascular,Prevention: Endocrine,Prevention: GI,Prevention: Neuro,Prevention: Renal,Management: Cardiovascular
S0005,CAS Proctored,2022-11-15,100,100,NA,85.7,50,66.7,50,66.7,42.9,100,100,NA,66.7,0,66.7,0,100,25,50,66.7
S0005,CAS Proctored,2023-03-15,0,50,50,NA,100,50,66.7,33.3,75,25,50,100,66.7,100,100,75,50,100,100,75
S0005,CBSE,2021-10-15,66.7,50,40,100,50,50,66.7,60,100,0,33.3,50,50,100,50,80,50,50,100,0
S0005,CBSE,2022-02-10,NA,80,75,100,100,0,100,40,25,50,57.1,0,66.7,100,100,100,57.1,100,50,0
S0005,CBSSA,2022-04-20,33.3,60,0,66.7,50,33.3,0,66.7,33.3,100,0,50,NA,100,75,0,0,66.7,100,33.3
S0005,CBSSA,2022-05-25,100,100,50,100,50,0,100,NA,100,50,57.1,33.3,50,100,50,50,100,50,100,100
S0005,CCSE,2023-01-20,33.3,50,83.3,50,100,50,25,33.3,100,33.3,100,0,100,50,80,NA,75,66.7,50,100
S0005,CCSE,2023-05-01,100,100,100,50,25,100,50,100,42.9,0,100,50,50,50,0,60,75,100,100,75
S0005,CCSSA,2023-06-01,100,20,50,50,66.7,50,100,100,0,66.7,0,50,50,66.7,NA,0,0,83.3,66.7,40
S0005,CCSSA,2023-06-25,100,50,50,66.7,100,33.3,50,50,100,NA,100,83.3,100,50,100,75,50,100,100,66.7
S0005,Family Medicine,2022-08-15,100,100,0,75,0,50,NA,33.3,100,85.7,50,100,50,100,50,NA,60,33.3,57.1,100
S0005,Internal Medicine,2022-10-10,100,100,83.3,33.3,100,50,66.7,60,50,0,0,66.7,75,100,NA,75,50,100,50,50
S0005,ObGyn,2023-03-20,33.3,50,100,NA,0,66.7,50,100,80,100,83.3,50,0,71.4,66.7,0,80,40,100,50
S0005,Surgery,2023-01-10,50,50,0,NA,100,66.7,0,75,85.7,50,0,0,0,100,100,NA,100,40,62.5,80
S0006,CAS Proctored,2022-11-15,50,33.3,100,66.7,50,60,100,100,0,60,100,100,100,66.7,50,100,100,66.7,40,66.7
S0006,CAS Proctored,2023-03-15,100,50,83.3,100,0,25,33.3,0,33.3,50,50,60,33.3,NA,40,100,83.3,NA,50,66.7
S0006,CBSE,2021-10-15,50,0,50,80,71.4,0,100,50,33.3,75,NA,80,100,80,NA,66.7,80,33.3,100,0
S0006,CBSE,2022-02-10,0,100,100,100,80,66.7,100,0,100,66.7,83.3,100,25,50,33.3,66.7,25,80,0,60
S0006,CBSSA,2022-04-20,75,100,100,66.7,75,50,33.3,100,100,50,0,66.7,0,50,60,75,100,100,100,33.3
S0006,CBSSA,2022-05-25,0,66.7,75,33.3,50,50,80,100,NA,33.3,40,71.4,100,0,NA,50,60,50,40,50
S0006,CCSE,2023-01-20,66.7,66.7,100,100,100,80,NA,50,50,NA,100,100,100,50,75,100,75,25,60,75
S0006,CCSE,2023-05-01,100,33.3,100,100,100,40,66.7,100,66.7,0,80,100,0,100,100,50,75,100,75,50
S0006,CCSSA,2023-06-01,66.7,100,50,100,33.3,75,66.7,100,50,60,66.7,100,100,57.1,100,66.7,NA,100,75,66.7
S0006,CCSSA,2023-06-25,33.3,100,66.7,100,71.4,100,33.3,50,50,25,60,25,0,50,80,50,100,100,100,50
S0006,Family Medicine,2022-08-15,100,60,50,60,100,80,100,60,50,100,40,50,100,NA,66.7,50,50,60,100,50
S0006,Internal Medicine,2022-10-10,33.3,100,100,100,NA,100,60,100,83.3,75,40,25,50,100,NA,50,100,50,100,0
S0006,ObGyn,2023-03-20,66.7,100,100,100,100,100,100,66.7,100,66.7,NA,100,50,0,50,100,50,50,60,66.7
S0006,Surgery,2023-01-10,0,66.7,75,33.3,50,0,100,50,50,33.3,66.7,66.7,NA,100,33.3,75,66.7,100,20,100
S0007,CAS Proctored,2022-11-15,NA,100,80,100,75,100,0,60,NA,100,100,66.7,50,60,66.7,100,100,75,100,66.7
S0007,CAS Proctored,2023-03-15,NA,100,50,100,0,50,66.7,100,60,80,71.4,0,50,87.5,50,100,100,50,100,50
S0007,CBSE,2021-10-15,50,83.3,33.3,75,100,66.7,100,40,100,80,0,100,75,33.3,75,100,50,100,50,100
S0007,CBSE,2022-02-10,0,100,28.6,33.3,50,0,50,50,33.3,66.7,NA,100,66.7,60,100,60,50,100,100,100
S0007,CBSSA,2022-04-20,0,50,100,100,100,50,33.3,100,100,0,80,66.7,50,50,60,100,50,25,100,NA
S0007,CBSSA,2022-05-25,50,71.4,50,100,100,50,66.7,100,100,66.7,66.7,60,50,80,100,0,100,NA,100,60
S0007,CCSE,2023-01-20,100,66.7,33.3,100,NA,50,50,0,100,33.3,100,100,50,50,33.3,33.3,50,100,0,0
S0007,CCSE,2023-05-01,50,100,75,66.7,50,100,75,100,0,100,100,100,100,85.7,83.3,100,NA,83.3,100,100
S0007,CCSSA,2023-06-01,60,100,0,100,66.7,66.7,66.7,33.3,71.4,100,66.7,100,60,75,25,0,66.7,66.7,100,66.7
S0007,CCSSA,2023-06-25,83.3,100,75,0,100,100,100,100,100,0,100,66.7,50,50,0,0,62.5,100,60,100
S0007,Family Medicine,2022-08-15,50,0,50,0,NA,66.7,50,60,66.7,66.7,66.7,0,80,NA,0,60,33.3,100,0,66.7
S0007,Internal Medicine,2022-10-10,33.3,80,75,60,0,100,75,100,75,66.7,100,75,NA,100,0,62.5,100,100,NA,50
S0007,ObGyn,2023-03-20,50,50,100,100,71.4,60,100,0,0,100,71.4,66.7,0,NA,66.7,NA,50,100,50,25
S0007,Surgery,2023-01-10,50,0,NA,83.3,100,75,50,66.7,100,66.7,100,100,50,75,0,50,50,100,0,50
S0008,CAS Proctored,2022-11-15,66.7,50,0,100,50,75,100,100,75,33.3,80,33.3,50,33.3,100,100,NA,40,66.7,100
S0008,CAS Proctored,2023-03-15,50,66.7,33.3,100,50,100,33.3,75,100,100,100,NA,NA,100,100,100,60,80,66.7,83.3
S0008,CBSE,2021-10-15,100,25,100,100,71.4,33.3,85.7,25,66.7,100,100,100,100,100,75,66.7,50,100,50,33.3
S0008,CBSE,2022-02-10,100,75,50,83.3,50,50,66.7,0,100,100,100,100,100,0,100,66.7,75,50,40,75
S0008,CBSSA,2022-04-20,66.7,33.3,33.3,100,66.7,100,66.7,40,NA,NA,66.7,100,0,100,100,80,75,66.7,25,0
S0008,CBSSA,2022-05-25,100,100,100,0,75,0,100,50,83.3,66.7,60,50,50,0,100,66.7,100,50,50,75
S0008,CCSE,2023-01-20,66.7,75,80,50,50,0,100,0,100,100,60,NA,50,100,50,50,60,71.4,50,75
S0008,CCSE,2023-05-01,80,66.7,100,66.7,33.3,83.3,100,60,66.7,83.3,100,0,100,100,75,100,50,50,25,NA
S0008,CCSSA,2023-06-01,100,100,85.7,50,100,75,66.7,66.7,50,0,NA,66.7,75,75,0,50,33.3,25,100,57.1
S0008,CCSSA,2023-06-25,66.7,66.7,NA,80,100,0,100,75,80,20,100,50,100,0,0,0,75,100,100,100
S0008,Family Medicine,2022-08-15,100,100,80,80,66.7,75,75,100,66.7,0,60,66.7,100,0,100,0,25,50,66.7,100
S0008,Internal Medicine,2022-10-10,60,100,50,60,100,66.7,100,100,33.3,57.1,NA,80,100,0,100,66.7,100,NA,100,71.4
S0008,ObGyn,2023-03-20,100,100,0,100,100,100,40,50,75,83.3,66.7,0,100,33.3,100,100,50,33.3,50,50
S0008,Surgery,2023-01-10,60,80,66.7,25,0,50,33.3,75,100,75,100,50,50,NA,0,100,66.7,0,66.7,60
S0009,CAS Proctored,2022-11-15,100,66.7,50,75,NA,0,25,80,100,100,100,100,66.7,50,100,50,66.7,50,60,66.7
S0009,CAS Proctored,2023-03-15,0,50,66.7,100,100,100,71.4,0,60,66.7,50,50,0,0,75,0,60,0,33.3,0
S0009,CBSE,2021-10-15,75,NA,0,100,66.7,50,100,40,50,100,20,75,33.3,NA,50,75,100,42.9,100,0
S0009,CBSE,2022-02-10,50,20,100,75,100,71.4,60,100,0,100,100,66.7,75,0,50,75,50,50,NA,0
S0009,CBSSA,2022-04-20,50,66.7,100,0,50,NA,33.3,66.7,50,NA,100,50,20,66.7,80,60,50,75,100,33.3
S0009,CBSSA,2022-05-25,33.3,66.7,100,NA,75,100,66.7,75,100,NA,33.3,33.3,66.7,50,50,66.7,66.7,NA,75,100
S0009,CCSE,2023-01-20,NA,100,66.7,0,66.7,75,42.9,0,0,100,0,100,50,42.9,80,50,75,50,50,75
S0009,CCSE,2023-05-01,50,80,100,60,100,100,50,50,50,33.3,100,100,66.7,80,0,100,66.7,50,50,66.7
S0009,CCSSA,2023-06-01,100,33.3,75,60,33.3,66.7,100,75,NA,66.7,80,0,100,0,50,50,50,25,66.7,100
S0009,CCSSA,2023-06-25,100,20,80,100,100,66.7,100,33.3,100,75,0,100,100,80,0,25,100,50,50,50
S0009,Family Medicine,2022-08-15,100,100,100,0,66.7,66.7,66.7,75,100,100,66.7,33.3,75,50,66.7,33.3,80,0,100,50
S0009,Internal Medicine,2022-10-10,80,75,100,66.7,100,100,100,100,80,75,100,66.7,0,75,50,75,100,50,50,66.7
S0009,ObGyn,2023-03-20,60,75,100,50,33.3,50,50,66.7,50,75,0,66.7,33.3,50,100,40,75,NA,100,50
S0009,Surgery,2023-01-10,100,33.3,100,66.7,100,75,75,25,50,100,50,75,100,50,60,100,100,40,75,50
S0010,CAS Proctored,2022-11-15,50,100,100,100,50,50,0,50,NA,62.5,66.7,75,50,0,0,25,100,100,83.3,50
S0010,CAS Proctored,2023-03-15,66.7,66.7,0,83.3,33.3,0,66.7,50,50,60,75,50,100,0,100,50,40,100,100,20
S0010,CBSE,2021-10-15,100,66.7,66.7,50,50,100,100,100,50,100,100,66.7,85.7,50,0,66.7,50,60,0,66.7
S0010,CBSE,2022-02-10,NA,100,100,66.7,100,60,100,50,83.3,50,100,75,50,NA,66.7,33.3,50,100,0,NA
S0010,CBSSA,2022-04-20,75,66.7,66.7,75,75,33.3,66.7,NA,50,100,71.4,100,66.7,100,50,33.3,100,33.3,100,NA
S0010,CBSSA,2022-05-25,100,NA,100,100,100,50,0,100,0,50,80,25,50,100,50,100,75,83.3,60,66.7
S0010,CCSE,2023-01-20,50,50,33.3,50,66.7,NA,75,66.7,50,80,50,80,100,100,100,66.7,33.3,20,0,66.7
S0010,CCSE,2023-05-01,66.7,33.3,100,100,80,0,NA,50,100,50,50,50,100,100,50,0,100,100,83.3,75
S0010,CCSSA,2023-06-01,50,100,100,100,100,75,50,50,33.3,66.7,0,100,NA,50,100,60,33.3,0,66.7,66.7
S0010,CCSSA,2023-06-25,50,66.7,NA,100,40,33.3,100,75,100,25,100,66.7,25,100,50,100,100,0,100,100
S0010,Family Medicine,2022-08-15,75,75,NA,66.7,33.3,100,66.7,100,71.4,NA,33.3,50,100,0,42.9,100,60,33.3,50,0
S0010,Internal Medicine,2022-10-10,100,50,100,50,100,100,100,50,66.7,100,66.7,80,40,33.3,80,40,100,33.3,33.3,25
S0010,ObGyn,2023-03-20,100,80,66.7,100,100,100,50,50,66.7,100,50,50,100,75,50,50,100,66.7,66.7,0
S0010,Surgery,2023-01-10,NA,100,50,100,66.7,16.7,100,100,33.3,66.7,66.7,NA,100,100,60,50,100,66.7,66.7,80
S0011,CAS Proctored,2022-11-15,100,100,75,0,33.3,66.7,60,100,100,0,66.7,100,80,33.3,66.7,85.7,66.7,33.3,0,33.3
S0011,CAS Proctored,2023-03-15,50,40,0,100,33.3,75,100,100,0,0,50,100,50,100,40,50,66.7,75,33.3,33.3
S0011,CBSE,2021-10-15,66.7,50,0,0,80,100,NA,NA,75,66.7,80,20,50,75,100,66.7,0,66.7,NA,0
S0011,CBSE,2022-02-10,50,60,50,100,75,100,25,66.7,100,NA,80,100,100,25,33.3,66.7,0,50,66.7,100
S0011,CBSSA,2022-04-20,50,50,50,33.3,100,NA,71.4,75,100,NA,NA,100,100,50,100,50,0,100,100,25
S0011,CBSSA,2022-05-25,33.3,100,66.7,0,60,50,50,50,50,80,50,100,50,66.7,100,100,25,100,50,100
S0011,CCSE,2023-01-20,40,33.3,NA,100,66.7,50,50,NA,80,NA,100,100,66.7,66.7,66.7,25,50,75,33.3,60
S0011,CCSE,2023-05-01,71.4,50,70,66.7,50,50,100,100,50,100,0,100,100,100,50,100,100,50,66.7,66.7
S0011,CCSSA,2023-06-01,66.7,75,66.7,100,0,0,100,66.7,66.7,75,60,NA,71.4,80,0,75,100,66.7,100,50
S0011,CCSSA,2023-06-25,100,100,100,66.7,66.7,100,50,100,50,60,100,0,50,50,100,0,75,66.7,50,100
S0011,Family Medicine,2022-08-15,0,75,66.7,0,57.1,40,0,33.3,80,50,100,33.3,50,33.3,100,50,100,75,NA,NA
S0011,Internal Medicine,2022-10-10,100,50,100,100,100,66.7,25,50,100,33.3,50,100,100,80,75,66.7,66.7,100,60,50
S0011,ObGyn,2023-03-20,50,100,100,50,0,100,100,100,100,100,100,50,0,50,60,60,NA,50,25,50
S0011,Surgery,2023-01-10,66.7,75,NA,28.6,25,33.3,33.3,100,33.3,25,100,50,75,50,NA,100,66.7,75,50,100
S0012,CAS Proctored,2022-11-15,50,50,50,62.5,100,0,50,100,100,33.3,66.7,100,100,50,33.3,100,100,80,0,100
S0012,CAS Proctored,2023-03-15,25,66.7,60,66.7,100,100,100,25,50,0,100,50,50,100,60,50,75,NA,100,75
S0012,CBSE,2021-10-15,NA,100,50,75,0,100,100,100,66.7,50,50,100,0,57.1,33.3,100,50,87.5,0,50
S0012,CBSE,2022-02-10,100,100,100,33.3,100,83.3,100,0,80,75,33.3,75,100,100,75,100,100,100,100,100
S0012,CBSSA,2022-04-20,71.4,25,100,0,100,100,0,80,33.3,100,NA,100,66.7,66.7,25,0,100,50,60,NA
S0012,CBSSA,2022-05-25,66.7,NA,50,33.3,60,33.3,0,100,100,66.7,75,100,33.3,50,66.7,66.7,50,50,50,75
S0012,CCSE,2023-01-20,100,33.3,0,80,100,83.3,0,100,100,50,28.6,0,57.1,100,100,33.3,33.3,33.3,NA,100
S0012,CCSE,2023-05-01,100,NA,75,0,100,75,80,100,100,57.1,66.7,100,66.7,25,66.7,100,100,0,100,50
S0012,CCSSA,2023-06-01,25,33.3,50,50,83.3,100,66.7,100,100,80,50,100,33.3,100,100,100,50,100,NA,100
S0012,CCSSA,2023-06-25,75,100,50,25,66.7,0,75,100,50,80,0,100,NA,25,50,66.7,100,100,66.7,0
S0012,Family Medicine,2022-08-15,60,100,50,50,50,50,50,0,33.3,66.7,66.7,100,0,100,100,0,40,100,50,66.7
S0012,Internal Medicine,2022-10-10,75,0,100,100,33.3,50,0,66.7,50,60,100,85.7,100,50,100,75,100,100,33.3,50
S0012,ObGyn,2023-03-20,100,100,100,50,83.3,71.4,83.3,0,66.7,100,0,0,100,80,33.3,0,100,66.7,40,66.7
S0012,Surgery,2023-01-10,75,100,66.7,20,50,100,100,100,0,100,0,100,100,66.7,100,100,100,75,100,33.3
S0013,CAS Proctored,2022-11-15,83.3,50,100,33.3,50,66.7,80,50,0,28.6,0,0,100,NA,50,100,40,66.7,0,0
S0013,CAS Proctored,2023-03-15,83.3,100,100,0,100,100,100,0,40,100,66.7,50,100,50,50,33.3,33.3,0,66.7,75
S0013,CBSE,2021-10-15,50,0,50,0,50,0,66.7,100,57.1,50,75,80,66.7,80,33.3,0,0,33.3,75,100
S0013,CBSE,2022-02-10,66.7,100,66.7,100,0,100,100,66.7,100,28.6,0,100,75,50,83.3,100,50,66.7,100,50
S0013,CBSSA,2022-04-20,33.3,100,71.4,0,66.7,100,0,50,83.3,50,33.3,66.7,25,0,100,100,66.7,50,100,66.7
S0013,CBSSA,2022-05-25,100,33.3,60,100,40,50,50,66.7,NA,100,100,85.7,100,100,0,66.7,66.7,75,100,66.7
S0013,CCSE,2023-01-20,85.7,80,33.3,50,100,100,NA,0,100,100,NA,40,100,80,50,100,100,NA,50,60
S0013,CCSE,2023-05-01,50,0,100,66.7,57.1,0,0,NA,66.7,75,50,100,66.7,60,80,50,100,NA,50,25
S0013,CCSSA,2023-06-01,75,50,80,100,100,50,50,33.3,66.7,75,NA,50,80,100,0,100,0,50,100,75
S0013,CCSSA,2023-06-25,60,100,66.7,100,100,100,100,100,33.3,60,33.3,66.7,33.3,0,66.7,0,33.3,0,50,40
S0013,Family Medicine,2022-08-15,100,25,33.3,0,80,50,50,66.7,62.5,75,100,75,0,100,NA,80,66.7,66.7,100,100
S0013,Internal Medicine,2022-10-10,25,40,50,0,100,NA,0,50,100,33.3,100,66.7,50,75,0,100,100,100,75,25
S0013,ObGyn,2023-03-20,100,50,50,0,50,50,0,50,75,66.7,60,50,33.3,100,100,40,0,100,100,66.7
S0013,Surgery,2023-01-10,0,33.3,50,0,100,100,100,42.9,0,0,100,100,80,66.7,100,100,66.7,100,50,100
S0014,CAS Proctored,2022-11-15,100,50,NA,0,75,50,0,50,66.7,100,66.7,0,40,100,100,50,75,66.7,100,75
S0014,CAS Proctored,2023-03-15,100,100,NA,50,75,57.1,50,66.7,NA,100,80,66.7,80,100,50,50,75,33.3,100,50
S0014,CBSE,2021-10-15,50,100,100,71.4,50,66.7,50,33.3,100,50,75,100,100,100,100,0,0,50,83.3,100
S0014,CBSE,2022-02-10,50,25,100,75,100,100,20,NA,0,25,66.7,66.7,50,50,66.7,100,100,60,0,33.3
S0014,CBSSA,2022-04-20,50,100,60,50,50,0,50,50,83.3,0,40,0,75,75,66.7,42.9,66.7,NA,100,66.7
S0014,CBSSA,2022-05-25,100,50,75,0,100,75,75,100,66.7,50,100,66.7,50,50,66.7,0,16.7,60,50,100
S0014,CCSE,2023-01-20,0,75,50,100,85.7,33.3,50,100,66.7,NA,50,100,100,80,66.7,100,50,100,66.7,100
S0014,CCSE,2023-05-01,66.7,40,100,75,75,50,100,40,50,100,100,75,100,40,25,50,100,100,33.3,25
S0014,CCSSA,2023-06-01,66.7,0,NA,25,100,100,60,33.3,33.3,NA,66.7,62.5,50,75,50,33.3,50,100,100,100
S0014,CCSSA,2023-06-25,25,100,0,60,0,50,NA,50,100,100,80,0,50,85.7,50,83.3,100,NA,50,100
S0014,Family Medicine,2022-08-15,100,0,62.5,100,0,NA,66.7,75,80,40,75,0,75,66.7,100,100,50,33.3,50,0
S0014,Internal Medicine,2022-10-10,100,33.3,50,100,0,100,33.3,100,33.3,75,80,100,100,50,80,50,100,50,100,0
S0014,ObGyn,2023-03-20,100,50,100,100,50,100,40,50,50,50,50,80,80,NA,66.7,60,66.7,0,33.3,100
S0014,Surgery,2023-01-10,50,66.7,NA,80,33.3,50,40,50,66.7,50,100,66.7,0,50,75,100,NA,50,85.7,66.7
S0015,CAS Proctored,2022-11-15,25,100,50,100,100,100,83.3,80,100,50,85.7,100,100,50,100,0,100,100,100,25
S0015,CAS Proctored,2023-03-15,100,50,75,50,66.7,100,83.3,50,66.7,50,100,100,33.3,100,100,100,60,50,100,NA
S0015,CBSE,2021-10-15,60,100,66.7,66.7,100,100,66.7,50,0,75,33.3,100,50,33.3,25,100,75,66.7,60,100
S0015,CBSE,2022-02-10,50,100,50,50,50,100,50,100,66.7,85.7,100,75,0,NA,100,66.7,60,50,50,50
S0015,CBSSA,2022-04-20,87.5,75,0,100,66.7,66.7,NA,0,80,60,25,100,50,100,66.7,50,100,25,100,60
S0015,CBSSA,2022-05-25,50,66.7,100,83.3,80,100,75,66.7,66.7,100,100,80,33.3,0,50,33.3,50,50,66.7,50
S0015,CCSE,2023-01-20,100,66.7,100,33.3,100,100,50,0,40,100,33.3,100,40,40,100,100,100,100,75,75
